SID,SEASON,BASIN,NAME,ISO_TIME,LAT,LON,USA_WIND,USA_SSHS,geometry,index_right,NAME_NORM
2016108S17181,2016,South Pacific,AMOS,2016-04-17 06:00:00,-17.0,-179.4,25.0,-1,POINT (-179.4 -17),17,AMOS_2016_04
2006049S16051,2006,South Indian,UNNAMED,2006-02-23 00:00:00,-15.9,51.2,25.0,-1,POINT (51.2 -15.9),20,UNNAMED_2006_02
2005350N08127,2005,Western Pacific,UNNAMED,2005-12-16 06:00:00,9.3,123.9,25.0,-3,POINT (123.9 9.3),43,UNNAMED_2005_12
2025203N18133,2025,Western Pacific,FRANCISCO,2025-07-25 12:00:00,26.2,121.7,25.0,-1,POINT (121.7 26.2),63,FRANCISCO_2025_07
2010018N07113,2010,Western Pacific,UNNAMED,2010-01-19 21:00:00,9.7,108.0,25.0,-1,POINT (108 9.7),112,UNNAMED_2010_01
2023297N11277,2023,North Atlantic,UNNAMED,2023-10-24 00:00:00,12.2,-83.4,25.0,-1,POINT (-83.4 12.2),95,UNNAMED_2023_10
1988234N13299,1988,North Atlantic,UNNAMED,1988-08-24 03:00:00,16.0,-82.8,25.0,-1,POINT (-82.8 16),95,UNNAMED_1988_08
1988251N13343,1988,North Atlantic,UNNAMED,1988-09-07 00:00:00,12.5,-17.5,25.0,-1,POINT (-17.5 12.5),112,UNNAMED_1988_09
2016214N15240,2016,Eastern Pacific,HOWARD,2016-08-07 12:00:00,21.7,-156.4,25.0,-3,POINT (-156.4 21.7),57,HOWARD_2016_08
1982274N13265,1982,Eastern Pacific,ROSA,1982-10-06 03:00:00,18.0,-104.3,25.0,-1,POINT (-104.3 18),95,ROSA_1982_10
2005258N12242,2005,Eastern Pacific,KENNETH,2005-09-30 18:00:00,19.4,-154.2,25.0,-1,POINT (-154.2 19.4),56,KENNETH_2005_09
1988306N15130,1988,Western Pacific,UNNAMED,1988-11-01 21:00:00,11.8,124.7,25.0,-1,POINT (124.7 11.8),46,UNNAMED_1988_11
2013316N06130,2013,Western Pacific,PODUL,2013-11-14 21:00:00,12.0,109.5,25.0,-1,POINT (109.5 12),112,PODUL_2013_11
1989010N16212,1989,Western Pacific,WINONA,1989-01-21 06:00:00,12.4,126.3,25.0,-1,POINT (126.3 12.4),49,WINONA_1989_01
2023241N10158,2023,Western Pacific,KIROGI,2023-09-06 00:00:00,32.1,133.3,25.0,-1,POINT (133.3 32.1),66,KIROGI_2023_09
1989159N17072,1989,North Indian,UNNAMED,1989-06-09 06:00:00,20.5,69.7,25.0,-1,POINT (69.7 20.5),112,UNNAMED_1989_06
1989167N21266,1989,North Atlantic,UNNAMED,1989-06-17 03:00:00,19.4,-93.6,25.0,-1,POINT (-93.6 19.4),95,UNNAMED_1989_06
1982188N09262,1982,Eastern Pacific,DANIEL,1982-07-22 06:00:00,18.3,-156.5,25.0,-1,POINT (-156.5 18.3),56,DANIEL_1982_07
1989221N16339,1989,North Atlantic,UNNAMED,1989-08-10 06:00:00,15.6,-17.1,25.0,-1,POINT (-17.1 15.6),112,UNNAMED_1989_08
1982152N13264,1982,Eastern Pacific,UNNAMED,1982-06-04 06:00:00,15.7,-94.7,25.0,-1,POINT (-94.7 15.7),95,UNNAMED_1982_06
2010110S10118,2010,South Indian,SEAN,2010-04-21 00:00:00,-10.0,116.9,25.0,-1,POINT (116.9 -10),27,SEAN_2010_04
2016354S15116,2017,South Indian,YVETTE,2016-12-24 18:00:00,-16.8,121.6,25.0,-1,POINT (121.6 -16.8),21,YVETTE_2016_12
2010172N08272,2010,Eastern Pacific,DARBY,2010-06-29 06:00:00,14.9,-97.1,25.0,-3,POINT (-97.1 14.9),95,DARBY_2010_06
2004001S16124,2004,South Indian,KEN,2004-01-06 00:00:00,-21.2,113.8,25.0,-1,POINT (113.8 -21.2),21,KEN_2004_01
2017025S16128,2017,South Indian,UNNAMED,2017-01-26 06:00:00,-16.7,123.5,25.0,-1,POINT (123.5 -16.7),21,UNNAMED_2017_01
2003294N11112,2003,Western Pacific,UNNAMED,2003-10-23 06:00:00,10.9,119.2,25.0,-1,POINT (119.2 10.9),47,UNNAMED_2003_10
2023152N26274,2023,North Atlantic,ARLENE,2023-06-04 00:00:00,23.5,-84.1,25.0,-3,POINT (-84.1 23.5),61,ARLENE_2023_06
2003279N18118,2003,Western Pacific,UNNAMED,2003-10-10 18:00:00,21.0,112.8,25.0,-1,POINT (112.8 21),112,UNNAMED_2003_10
1990145N19276,1990,North Atlantic,UNNAMED,1990-05-26 06:00:00,24.0,-82.2,25.0,-1,POINT (-82.2 24),61,UNNAMED_1990_05
2003275N16252,2003,Eastern Pacific,NORA,2003-10-08 21:00:00,22.7,-107.0,25.0,-1,POINT (-107 22.7),95,NORA_2003_10
1982054S23036,1982,South Indian,UNNAMED,1982-02-22 12:00:00,-22.6,36.2,25.0,-1,POINT (36.2 -22.6),112,UNNAMED_1982_02
2010222N26277,2010,North Atlantic,UNNAMED,2010-08-12 15:00:00,29.8,-89.0,25.0,-3,POINT (-89 29.8),95,UNNAMED_2010_08
2010217N15265,2010,Eastern Pacific,ESTELLE,2010-08-04 18:00:00,14.7,-96.3,25.0,-3,POINT (-96.3 14.7),95,ESTELLE_2010_08
2013260N15112,2013,Western Pacific,UNNAMED,2013-09-18 15:00:00,16.2,109.0,25.0,-1,POINT (109 16.2),112,UNNAMED_2013_09
1990319N07197,1990,Western Pacific,OWEN,1990-12-04 06:00:00,8.7,127.3,25.0,-1,POINT (127.3 8.7),43,OWEN_1990_12
2002222N11131,2002,Western Pacific,UNNAMED,2002-08-13 03:00:00,14.3,123.4,25.0,-1,POINT (123.4 14.3),51,UNNAMED_2002_08
1991055S12142,1991,South Pacific,KELVIN,1991-02-24 12:00:00,-12.3,144.2,25.0,-1,POINT (144.2 -12.3),21,KELVIN_1991_02
2002146N17113,2002,Western Pacific,UNNAMED,2002-05-29 21:00:00,22.8,119.7,25.0,-1,POINT (119.7 22.8),63,UNNAMED_2002_05
2013251N13342,2013,North Atlantic,HUMBERTO,2013-09-08 00:00:00,13.0,-17.6,25.0,-3,POINT (-17.6 13),112,HUMBERTO_2013_09
2002143S07157,2002,South Pacific,UPIA,2002-05-23 06:00:00,-6.6,157.3,25.0,-1,POINT (157.3 -6.6),30,UPIA_2002_05
2001320S11146,2002,South Indian,UNNAMED,2001-11-20 03:00:00,-6.5,133.9,25.0,-1,POINT (133.9 -6.5),32,UNNAMED_2001_11
2010244N12328,2010,North Atlantic,GASTON,2010-09-08 06:00:00,17.4,-67.7,25.0,-3,POINT (-67.7 17.4),52,GASTON_2010_09
2001171N12234,2001,Eastern Pacific,BARBARA,2001-06-25 21:00:00,22.4,-157.9,25.0,-1,POINT (-157.9 22.4),59,BARBARA_2001_06
2022244N38313,2022,North Atlantic,DANIELLE,2022-09-15 03:00:00,41.9,-10.0,25.0,-4,POINT (-10 41.9),112,DANIELLE_2022_09
1992044S14128,1992,South Indian,UNNAMED,1992-02-13 00:00:00,-13.9,126.5,25.0,-1,POINT (126.5 -13.9),21,UNNAMED_1992_02
2017307N07102,2017,Western Pacific,UNNAMED,2017-11-04 12:00:00,5.6,100.3,25.0,-1,POINT (100.3 5.6),112,UNNAMED_2017_11
2022215N21118,2022,Western Pacific,UNNAMED,2022-08-03 18:00:00,22.1,115.9,25.0,-1,POINT (115.9 22.1),112,UNNAMED_2022_08
2022180N15130,2022,Western Pacific,AERE,2022-07-05 18:00:00,34.0,137.6,25.0,-1,POINT (137.6 34),71,AERE_2022_07
